internal_record_id,functional_record_id,head_individual_id,head_name,headship_type,size_total,size_adults,size_children_u5,size_school_age,size_elderly,number_of_female_members,number_of_male_members,country,region,district,ward,village,latitude,longitude,altitude,plus_code,address_line_1,address_line_2,postal_code,country_code,dwelling_type,roof_material,wall_material,floor_material,tenure_status,water_source_type,water_distance_minutes,sanitation_type,lighting_source,cooking_fuel_type,assets,programs,score_type,score_definition_id,triggered_by_cr_id,triggered_by_submission_id,computed_score,computed_at
h026,HH-0026,i0130,Tyler Stevens,MALE_HEADED,7,5,1,1,0,3,4,kamuntu,chakula,rafiki,uhuruumeme,biluka,14.9874,70.9829,151,49AB+09,48434 Bush Spurs,Sector 5,000130,KM,PERMANENT,TILE,STONE,EARTH,OWNED,PUBLIC_TAP,13,SHARED,KEROSENE,ELECTRICITY,"[{""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Mobile Phone"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Water Pump"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Plough"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]","[{""program_name"": ""PROG_HH_SAFETY_NET"", ""program_start_date"": ""2025-07-21"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0026,,2.41,2026-04-01 10:00:26
h027,HH-0027,i0137,Margaret Ronald Sullivan,FEMALE_HEADED,3,2,1,0,0,2,1,kamuntu,faraja,sihaya,kusoma,bichi,17.1992,65.1981,93,71AB+51,61227 Boyle Avenue Suite 637,Sector 3,000137,KM,PERMANENT,TARPAULIN,STONE,CEMENT,RENTED,SPRING,22,SHARED,SOLAR,ELECTRICITY,[],[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0027,,2.62,2026-04-01 10:00:27
h028,HH-0028,i0140,Jacqueline Miles,FEMALE_HEADED,6,4,0,2,0,3,3,kamuntu,faraja,asilani,kufa,berio,10.9104,68.9507,130,09AB+89,339 Alicia Pines Suite 191,Sector 6,000140,KM,TEMPORARY,TILE,MUD_BRICK,TILE,OWNED,WELL,36,FLUSH_TOILET,KEROSENE,OTHER,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Mobile Phone"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Refrigerator"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]","[{""program_name"": ""PROG_HH_SAFETY_NET"", ""program_start_date"": ""2024-09-05"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0028,,3.8,2026-04-01 10:00:28
h029,HH-0029,i0146,Pamela Stephenson,FEMALE_HEADED,3,2,0,1,0,2,1,kamuntu,chakula,mfumo,wimbo,biluba,14.4129,65.4097,145,44AB+54,31190 Harper Squares,Sector 3,000146,KM,SEMI_PERMANENT,TILE,BAMBOO,EARTH,RENTED,PUBLIC_TAP,26,FLUSH_TOILET,KEROSENE,OTHER,[],[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0029,,1.88,2026-04-01 10:00:29
h030,HH-0030,i0149,Shannon Steven Thomas,FEMALE_HEADED,7,7,0,0,1,4,3,kamuntu,chakula,njia,wingu,bilugi,17.748,66.7524,234,77AB+67,668 Paul Glens,Sector 6,000149,KM,PERMANENT,METAL_SHEET,STONE,TILE,HOSTED,SPRING,9,PIT_LATRINE,GRID,ELECTRICITY,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Refrigerator"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Water Pump"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Mobile Phone"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]","[{""program_name"": ""PROG_HH_NUTRITION"", ""program_start_date"": ""2024-11-09"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0030,,4.95,2026-04-01 10:00:30
h031,HH-0031,i0156,Jonathan Wolfe,MALE_HEADED,7,5,1,1,1,6,1,kamuntu,jasiri,baraka,walili,bimata,11.0621,66.0946,282,10AB+60,11823 Christine Glen Suite 461,Sector 4,000156,KM,PERMANENT,METAL_SHEET,STONE,TILE,HOSTED,PUBLIC_TAP,14,PIT_LATRINE,KEROSENE,OTHER,"[{""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Sewing Machine"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Television"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Mobile Phone"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Mobile Phone"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0031,,3.19,2026-04-01 10:00:31
h032,HH-0032,i0163,Abigail Parker,FEMALE_HEADED,4,4,0,0,1,1,3,kamuntu,chakula,mfumo,nguvu,biluci,16.6068,65.5921,295,66AB+55,7888 Garcia Corners,Sector 2,000163,KM,PERMANENT,METAL_SHEET,BRICK,CEMENT,HOSTED,PIPED,5,FLUSH_TOILET,KEROSENE,OTHER,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0032,,4.08,2026-04-01 10:00:32
h033,HH-0033,i0167,Tracy Carter,FEMALE_HEADED,6,5,0,1,0,3,3,kamuntu,jasiri,simba,walizo,biluti,13.2596,66.3016,240,32AB+63,4651 Brittany Plains Apt. 807,Sector 6,000167,KM,PERMANENT,THATCH,BAMBOO,EARTH,HOSTED,PIPED,41,PIT_LATRINE,GRID,GAS,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Water Pump"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]","[{""program_name"": ""PROG_HH_LIVELIHOOD"", ""program_start_date"": ""2025-11-13"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0033,,1.58,2026-04-01 10:00:33
h034,HH-0034,i0173,Mark Lopez,MALE_HEADED,7,5,0,2,1,2,5,kamuntu,kilima,karamu,hasara,bilota,12.8016,65.7932,131,28AB+57,9660 Jamie Terrace,Sector 3,000173,KM,PERMANENT,METAL_SHEET,STONE,EARTH,OWNED,PIPED,38,PIT_LATRINE,KEROSENE,OTHER,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]","[{""program_name"": ""PROG_HH_NUTRITION"", ""program_start_date"": ""2025-11-10"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0034,,4.37,2026-04-01 10:00:34
h035,HH-0035,i0180,Kimberly Fritz,FEMALE_HEADED,5,4,0,1,0,3,2,kamuntu,chakula,njia,moyo,bilufi,16.3599,71.4481,170,63AB+14,340 Baker Wall,Sector 1,000180,KM,TEMPORARY,TILE,BAMBOO,TILE,RENTED,WELL,35,PIT_LATRINE,SOLAR,CHARCOAL,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0035,,2.39,2026-04-01 10:00:35
h036,HH-0036,i0185,Daniel Jason Jordan,MALE_HEADED,4,4,0,0,0,2,2,kamuntu,jasiri,mapema,upendo,bimbee,15.7307,68.7852,53,57AB+87,750 Cory Tunnel,Sector 6,000185,KM,PERMANENT,TILE,MUD_BRICK,CEMENT,OWNED,WELL,20,PIT_LATRINE,GRID,ELECTRICITY,"[{""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Plough"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}]","[{""program_name"": ""PROG_HH_SAFETY_NET"", ""program_start_date"": ""2024-02-04"", ""program_exit_date"": null}, {""program_name"": ""PROG_HH_LIVELIHOOD"", ""program_start_date"": ""2023-03-07"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0036,,3.56,2026-04-01 10:00:36
h037,HH-0037,i0189,James Nancy Li,MALE_HEADED,3,3,0,0,1,2,1,kamuntu,jasiri,ndoto,pamoja,biluxo,12.3184,70.278,189,23AB+02,5326 Heath Corners,Sector 1,000189,KM,TEMPORARY,TILE,MUD_BRICK,CEMENT,HOSTED,PUBLIC_TAP,41,FLUSH_TOILET,KEROSENE,FIREWOOD,"[{""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Mobile Phone"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0037,,3.14,2026-04-01 10:00:37
h038,HH-0038,i0192,Daisy Little,FEMALE_HEADED,7,5,0,2,0,3,4,kamuntu,faraja,asilani,nguvu,bandari,10.8991,65.8856,290,08AB+58,69658 Kathryn Trail Apt. 091,Sector 4,000192,KM,TEMPORARY,TARPAULIN,BAMBOO,EARTH,RENTED,PIPED,35,PIT_LATRINE,KEROSENE,OTHER,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Mobile Phone"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0038,,2.26,2026-04-01 10:00:38
h039,HH-0039,i0199,Tara Mathews,FEMALE_HEADED,5,4,0,1,0,2,3,kamuntu,faraja,sihaya,kutaka,bileh,18.5214,68.5865,297,85AB+85,1951 Harry Unions Apt. 617,Sector 2,000199,KM,TEMPORARY,THATCH,MUD_BRICK,TILE,RENTED,PIPED,30,SHARED,SOLAR,OTHER,[],[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0039,,2.6,2026-04-01 10:00:39
h040,HH-0040,i0204,Jerry Edwards,MALE_HEADED,6,5,1,0,0,3,3,kamuntu,faraja,tunza,kufa,bilosi,10.3821,69.2986,262,03AB+92,537 Ford Walk,Sector 7,000204,KM,TEMPORARY,TILE,BAMBOO,TILE,OWNED,PIPED,23,PIT_LATRINE,KEROSENE,FIREWOOD,"[{""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Radio"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}]","[{""program_name"": ""PROG_HH_LIVELIHOOD"", ""program_start_date"": ""2023-02-07"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0040,,4.66,2026-04-01 10:00:40
h041,HH-0041,i0210,Alexander Harper,MALE_HEADED,6,5,0,1,0,2,4,kamuntu,faraja,sihaya,kuzaa,bievu,16.4972,68.4613,111,64AB+84,593 Craig Shoals Apt. 480,Sector 4,000210,KM,PERMANENT,TILE,BAMBOO,CEMENT,RENTED,WELL,9,FLUSH_TOILET,KEROSENE,CHARCOAL,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]","[{""program_name"": ""PROG_HH_NUTRITION"", ""program_start_date"": ""2024-01-08"", ""program_exit_date"": null}, {""program_name"": ""PROG_HH_LIVELIHOOD"", ""program_start_date"": ""2023-04-19"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0041,,1.38,2026-04-01 10:00:41
h042,HH-0042,i0216,David Gary Haas,MALE_HEADED,4,4,0,0,0,2,2,kamuntu,jasiri,mapema,tahini,bimbez,17.8116,68.8285,258,78AB+88,0433 Michael Turnpike Apt. 006,Sector 1,000216,KM,PERMANENT,THATCH,STONE,TILE,RENTED,SPRING,45,PIT_LATRINE,KEROSENE,CHARCOAL,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Television"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0042,,1.19,2026-04-01 10:00:42
h043,HH-0043,i0220,Sara Hernandez,FEMALE_HEADED,5,5,0,0,1,3,2,kamuntu,jasiri,mapema,ushindi,bimaza,18.3372,65.3035,228,83AB+53,10324 Thomas Crescent Suite 677,Sector 5,000220,KM,PERMANENT,TARPAULIN,BAMBOO,TILE,RENTED,PIPED,25,FLUSH_TOILET,GRID,CHARCOAL,"[{""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0043,,1.8,2026-04-01 10:00:43
h044,HH-0044,i0225,Adam Briana Graves,MALE_HEADED,6,5,0,1,1,3,3,kamuntu,jasiri,baraka,walili,bimawa,19.7471,65.7783,237,97AB+57,62299 Sara Port Apt. 485,Sector 1,000225,KM,TEMPORARY,TILE,BRICK,TILE,HOSTED,SPRING,2,PIT_LATRINE,KEROSENE,GAS,"[{""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Television"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Television"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Refrigerator"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]","[{""program_name"": ""PROG_HH_NUTRITION"", ""program_start_date"": ""2023-05-14"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0044,,3.51,2026-04-01 10:00:44
h045,HH-0045,i0231,Matthew Alan Burke,MALE_HEADED,7,4,0,3,0,4,3,kamuntu,kilima,mkutani,msitu,baadhi,15.8286,71.8463,216,58AB+18,446 York Mount Suite 374,Sector 7,000231,KM,TEMPORARY,METAL_SHEET,BRICK,EARTH,HOSTED,WELL,36,SHARED,KEROSENE,FIREWOOD,[],[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0045,,4.68,2026-04-01 10:00:45
h046,HH-0046,i0238,Kenneth Moore,MALE_HEADED,5,5,0,0,1,3,2,kamuntu,chakula,njia,moyo,bilufa,18.6508,65.6701,194,86AB+56,96666 Reyes Camp,Sector 5,000238,KM,SEMI_PERMANENT,METAL_SHEET,STONE,CEMENT,OWNED,PIPED,38,SHARED,SOLAR,OTHER,"[{""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Radio"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Mobile Phone"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Water Pump"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0046,,4.22,2026-04-01 10:00:46
h047,HH-0047,i0243,Jennifer Roach,FEMALE_HEADED,5,2,1,2,1,3,2,kamuntu,kilima,karamu,hasara,biloti,13.9072,67.8875,101,39AB+78,348 Michael Lodge,Sector 1,000243,KM,SEMI_PERMANENT,THATCH,MUD_BRICK,CEMENT,HOSTED,PIPED,2,SHARED,GRID,GAS,"[{""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Mobile Phone"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Refrigerator"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Sewing Machine"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0047,,4.42,2026-04-01 10:00:47
h048,HH-0048,i0248,Denise Cruz,FEMALE_HEADED,6,5,1,0,1,3,3,kamuntu,kilima,karamu,damu,bilkou,16.5522,65.5564,281,65AB+55,2120 Dale Ramp Suite 972,Sector 6,000248,KM,SEMI_PERMANENT,TILE,MUD_BRICK,TILE,OWNED,WELL,20,FLUSH_TOILET,GRID,FIREWOOD,"[{""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Plough"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]","[{""program_name"": ""PROG_HH_NUTRITION"", ""program_start_date"": ""2023-03-01"", ""program_exit_date"": null}, {""program_name"": ""PROG_HH_LIVELIHOOD"", ""program_start_date"": ""2025-09-06"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0048,,2.29,2026-04-01 10:00:48
h049,HH-0049,i0254,Christine Powers,FEMALE_HEADED,6,5,0,1,1,1,5,kamuntu,faraja,sihaya,kupika,bertu,13.9567,71.0116,284,39AB+10,0375 Moran Lakes Suite 113,Sector 3,000254,KM,PERMANENT,THATCH,STONE,CEMENT,HOSTED,PIPED,40,FLUSH_TOILET,GRID,FIREWOOD,"[{""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Plough"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Car"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0049,,4.96,2026-04-01 10:00:49
h050,HH-0050,i0260,Michael Goodman,MALE_HEADED,7,5,1,1,0,5,2,kamuntu,kilima,karamu,uzima,bilosa,18.2149,68.2149,150,82AB+82,858 James Road Suite 522,Sector 9,000260,KM,TEMPORARY,TILE,STONE,TILE,RENTED,WELL,8,FLUSH_TOILET,KEROSENE,FIREWOOD,"[{""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Television"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Bicycle"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Radio"", ""quantity"": 4, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Water Pump"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0050,,3.98,2026-04-01 10:00:50
h051,HH-0051,i0267,Mary Rivera,FEMALE_HEADED,4,3,1,0,0,2,2,kamuntu,faraja,tunza,kufa,biloti,14.6438,69.625,196,46AB+96,57399 Susan Springs,Sector 7,000267,KM,PERMANENT,METAL_SHEET,BRICK,EARTH,OWNED,PUBLIC_TAP,42,SHARED,SOLAR,OTHER,"[{""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Radio"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Radio"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}, {""asset_type"": ""VEHICLE"", ""asset_category"": ""Motorcycle"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Refrigerator"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Television"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": ""{\""condition\"": \""working\""}""}]","[{""program_name"": ""PROG_HH_NUTRITION"", ""program_start_date"": ""2023-02-08"", ""program_exit_date"": null}, {""program_name"": ""PROG_HH_LIVELIHOOD"", ""program_start_date"": ""2024-02-16"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0051,,1.02,2026-04-01 10:00:51
h052,HH-0052,i0271,Robert Grant,MALE_HEADED,3,3,0,0,0,1,2,kamuntu,faraja,asilani,usawa,athari,19.2354,71.2641,259,92AB+12,5061 Darlene River Apt. 901,Sector 2,000271,KM,TEMPORARY,TARPAULIN,STONE,TILE,OWNED,PUBLIC_TAP,16,PIT_LATRINE,GRID,FIREWOOD,"[{""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Sewing Machine"", ""quantity"": 3, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Radio"", ""quantity"": 5, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Water Pump"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]",[],POVERTY,e0000000-0000-4000-8000-000000000001,cr0052,,4.07,2026-04-01 10:00:52
h053,HH-0053,i0274,Natalie Swanson,FEMALE_HEADED,7,6,0,1,0,3,4,kamuntu,faraja,sihaya,kusoma,bidi,10.6652,65.6957,183,06AB+56,23943 Howard Union,Sector 5,000274,KM,SEMI_PERMANENT,THATCH,BAMBOO,CEMENT,RENTED,WELL,12,PIT_LATRINE,GRID,ELECTRICITY,"[{""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Sewing Machine"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""PRODUCTIVE"", ""asset_category"": ""Plough"", ""quantity"": 2, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Radio"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}, {""asset_type"": ""CONSUMER_DURABLE"", ""asset_category"": ""Radio"", ""quantity"": 1, ""size_value"": null, ""size_unit"": null, ""size_band"": null, ""details"": null}]","[{""program_name"": ""PROG_HH_SAFETY_NET"", ""program_start_date"": ""2024-07-02"", ""program_exit_date"": null}]",POVERTY,e0000000-0000-4000-8000-000000000001,cr0053,,1.97,2026-04-01 10:00:53
